year,burglary_worry_pct,car_crime_worry_pct,violent_crime_worry_pct,feel_safe_male_pct,feel_safe_female_pct,feel_safe_all_pct
1992,19.0,,,,,
1994,26.0,,,84.0978,45.4771,64.0487
1996,22.1255,,,85.0083,52.6589,68.2005
1998,19.3,22.3,24.6,85.0804,51.5994,67.7154
2000,19.2,21.0,23.7,84.9843,52.7326,68.2818
2002,15.2,17.3,21.8,84.0355,53.0966,68.0861
2003,14.8,16.6,20.8,81.9665,50.4478,65.7151
2004,12.6,14.9,16.3,83.6037,53.258,67.9832
2005,12.1,13.4,16.3,84.8028,56.5509,70.2624
2006,12.7,13.7,17.2,82.8155,54.5689,68.279
2007,12.6395,13.0107,17.0809,82.8905,55.9485,69.0389
2008,11.5464,11.9397,14.9287,83.0375,56.3344,69.3218
2009,11.212,11.4075,13.5774,83.3931,57.3923,70.0467
2010,10.1777,10.1227,12.8893,84.7388,60.9437,72.5336
2011,10.3592,9.8377,13.1762,86.0856,63.5441,74.5368
2012,11.4471,9.9441,13.7541,87.0826,64.4822,75.5158
2013,11.9154,6.7899,12.0357,84.7229,56.6509,70.4816
2014,11.0711,6.8107,12.0935,85.0836,57.9542,71.2469
2015,9.7059,6.8734,11.0855,85.7543,61.8151,73.6876
2016,10.6663,6.0428,11.5264,87.8726,61.706,74.7084
2017,10.2107,7.0372,10.9466,87.5202,62.7278,74.9652
2018,10.06,6.6706,11.8572,87.1679,63.7495,75.222
2019,9.8359,6.6633,9.4972,88.3578,68.8107,78.4168
2020,9.9223,6.8187,8.4665,86.8295,68.9956,77.8454
2021,,,,,,
2022,,,,,,
2023,7.7898,5.418,7.6822,89.7111,68.9897,79.1392
2024,7.3648,6.2551,7.5628,89.22,69.6295,79.4941
2025,7.6917,7.0082,7.7912,88.8068,68.192,78.3524
